2025-08-21 14:02:40 | server | INFO | Ping actor response: {'type': 'PONG', 'from': 'orchestrator', 'status': <ActorStatus.RUNNING: 'running'>, 'progress': 30.0}
2025-08-21 14:02:41 | server | INFO | Ping received.
2025-08-21 14:02:41 | server | INFO | Ping actor response: {'type': 'PONG', 'from': 'orchestrator', 'status': <ActorStatus.RUNNING: 'running'>, 'progress': 30.0}
2025-08-21 14:02:43 | server | INFO | Ping received.
2025-08-21 14:02:43 | server | INFO | Ping actor response: {'type': 'PONG', 'from': 'orchestrator', 'status': <ActorStatus.RUNNING: 'running'>, 'progress': 30.0}
2025-08-21 14:02:43 | server | INFO | Ping received.
2025-08-21 14:02:43 | server | INFO | Ping actor response: {'type': 'PONG', 'from': 'orchestrator', 'status': <ActorStatus.RUNNING: 'running'>, 'progress': 30.0}
2025-08-21 14:02:44 | server | INFO | Ping received.
2025-08-21 14:02:44 | server | INFO | Ping actor response: {'type': 'PONG', 'from': 'orchestrator', 'status': <ActorStatus.RUNNING: 'running'>, 'progress': 30.0}
2025-08-21 14:02:44 | server | INFO | Ping received.
2025-08-21 14:02:44 | server | INFO | Ping actor response: {'type': 'PONG', 'from': 'orchestrator', 'status': <ActorStatus.RUNNING: 'running'>, 'progress': 30.0}
2025-08-21 14:02:45 | server | INFO | Ping received.
2025-08-21 14:02:45 | server | INFO | Ping actor response: {'type': 'PONG', 'from': 'orchestrator', 'status': <ActorStatus.RUNNING: 'running'>, 'progress': 30.0}
2025-08-21 14:02:45 | server | INFO | Ping received.
2025-08-21 14:02:45 | server | INFO | Ping actor response: {'type': 'PONG', 'from': 'orchestrator', 'status': <ActorStatus.RUNNING: 'running'>, 'progress': 30.0}
2025-08-21 14:02:54 | server | INFO | Ping received.
2025-08-21 14:02:54 | server | INFO | Ping actor response: {'type': 'PONG', 'from': 'orchestrator', 'status': <ActorStatus.RUNNING: 'running'>, 'progress': 50.0}
2025-08-21 14:02:55 | server | INFO | Ping received.
2025-08-21 14:02:55 | server | INFO | Ping actor response: {'type': 'PONG', 'from': 'orchestrator', 'status': <ActorStatus.RUNNING: 'running'>, 'progress': 50.0}
2025-08-21 14:02:55 | server | INFO | Ping received.
2025-08-21 14:02:55 | server | INFO | Ping actor response: {'type': 'PONG', 'from': 'orchestrator', 'status': <ActorStatus.RUNNING: 'running'>, 'progress': 70.0}
2025-08-21 14:02:57 | server | INFO | Ping received.
2025-08-21 14:02:57 | server | INFO | Ping actor response: {'type': 'PONG', 'from': 'orchestrator', 'status': <ActorStatus.RUNNING: 'running'>, 'progress': 70.0}
2025-08-21 14:02:58 | server | INFO | Ping received.
2025-08-21 14:02:58 | server | INFO | Ping actor response: {'type': 'PONG', 'from': 'orchestrator', 'status': <ActorStatus.RUNNING: 'running'>, 'progress': 70.0}
2025-08-21 14:02:58 | server | INFO | Ping received.
2025-08-21 14:02:58 | server | INFO | Ping actor response: {'type': 'PONG', 'from': 'orchestrator', 'status': <ActorStatus.RUNNING: 'running'>, 'progress': 70.0}
2025-08-21 14:02:58 | server | INFO | Ping received.
2025-08-21 14:02:58 | server | INFO | Ping actor response: {'type': 'PONG', 'from': 'orchestrator', 'status': <ActorStatus.RUNNING: 'running'>, 'progress': 70.0}
2025-08-21 14:02:58 | server | INFO | Ping received.
2025-08-21 14:02:58 | server | INFO | Ping actor response: {'type': 'PONG', 'from': 'orchestrator', 'status': <ActorStatus.RUNNING: 'running'>, 'progress': 70.0}
2025-08-21 14:02:58 | server | INFO | Ping received.
2025-08-21 14:02:58 | server | INFO | Ping actor response: {'type': 'PONG', 'from': 'orchestrator', 'status': <ActorStatus.RUNNING: 'running'>, 'progress': 70.0}
2025-08-21 14:02:59 | server | INFO | Ping received.
2025-08-21 14:02:59 | server | INFO | Ping actor response: {'type': 'PONG', 'from': 'orchestrator', 'status': <ActorStatus.RUNNING: 'running'>, 'progress': 70.0}
2025-08-21 14:02:59 | server | INFO | Ping received.
2025-08-21 14:02:59 | server | INFO | Ping actor response: {'type': 'PONG', 'from': 'orchestrator', 'status': <ActorStatus.RUNNING: 'running'>, 'progress': 70.0}
2025-08-21 14:07:11 | server | INFO | Ping received.
2025-08-21 14:07:13 | server | INFO | Ping actor response: None
2025-08-21 14:41:01 | server | INFO | Starting server on localhost:5000
2025-08-21 14:41:01 | server | INFO | Starting background queue consumer...
2025-08-21 14:41:01 | server | INFO | Queue consumer started successfully
2025-08-21 14:41:14 | server | INFO | Ping received.
2025-08-21 14:41:14 | server | INFO | Ping actor response: Poison<SimulationSignal(type=<Signal.SIMULATION: 'simulation'>, from_agent='server', to_agent=<ActorName.ORCHESTRATOR: 'orchestrator'>, content=None)>: Traceback (most recent call last):
  File "/Users/martin.dagostino/workspace/margostino/autobox/autobox-engine/.venv/lib/python3.13/site-packages/thespian/system/actorManager.py", line 179, in _handleOneMessage
    actor_result = self.actorInst.receiveMessage(copy.deepcopy(msg), envelope.sender)
  File "/Users/martin.dagostino/workspace/margostino/autobox/autobox-engine/autobox/core/agents/orchestrator.py", line 54, in receiveMessage
    SimulationMessage(
    ~~~~~~~~~~~~~~~~~^
        status=self.status,
        ^^^^^^^^^^^^^^^^^^^
        progress=self.progress,
        ^^^^^^^^^^^^^^^^^^^^^^^
    ),
    ^
  File "/Users/martin.dagostino/workspace/margostino/autobox/autobox-engine/.venv/lib/python3.13/site-packages/pydantic/main.py", line 253, in __init__
    validated_self = self.__pydantic_validator__.validate_python(data, self_instance=self)
pydantic_core._pydantic_core.ValidationError: 1 validation error for SimulationMessage
status
  Input should be 'started', 'in progress', 'new', 'failed', 'completed', 'timeout' or 'aborted' [type=enum, input_value=<ActorStatus.RUNNING: 'running'>, input_type=ActorStatus]
    For further information visit https://errors.pydantic.dev/2.11/v/enum

2025-08-21 14:41:19 | server | INFO | Simulation status received.
2025-08-21 14:41:19 | server | INFO | Status actor response: Poison<SimulationSignal(type=<Signal.SIMULATION: 'simulation'>, from_agent='server', to_agent=<ActorName.ORCHESTRATOR: 'orchestrator'>, content=None)>: Traceback (most recent call last):
  File "/Users/martin.dagostino/workspace/margostino/autobox/autobox-engine/.venv/lib/python3.13/site-packages/thespian/system/actorManager.py", line 179, in _handleOneMessage
    actor_result = self.actorInst.receiveMessage(copy.deepcopy(msg), envelope.sender)
  File "/Users/martin.dagostino/workspace/margostino/autobox/autobox-engine/autobox/core/agents/orchestrator.py", line 54, in receiveMessage
    SimulationMessage(
    ~~~~~~~~~~~~~~~~~^
        status=self.status,
        ^^^^^^^^^^^^^^^^^^^
        progress=self.progress,
        ^^^^^^^^^^^^^^^^^^^^^^^
    ),
    ^
  File "/Users/martin.dagostino/workspace/margostino/autobox/autobox-engine/.venv/lib/python3.13/site-packages/pydantic/main.py", line 253, in __init__
    validated_self = self.__pydantic_validator__.validate_python(data, self_instance=self)
pydantic_core._pydantic_core.ValidationError: 1 validation error for SimulationMessage
status
  Input should be 'started', 'in progress', 'new', 'failed', 'completed', 'timeout' or 'aborted' [type=enum, input_value=<ActorStatus.RUNNING: 'running'>, input_type=ActorStatus]
    For further information visit https://errors.pydantic.dev/2.11/v/enum

2025-08-21 14:41:19 | server | ERROR | Failed to ping orchestrator: 'PoisonMessage' object has no attribute 'status'
2025-08-21 14:41:20 | server | INFO | Simulation status received.
2025-08-21 14:41:20 | server | INFO | Status actor response: Poison<SimulationSignal(type=<Signal.SIMULATION: 'simulation'>, from_agent='server', to_agent=<ActorName.ORCHESTRATOR: 'orchestrator'>, content=None)>: Traceback (most recent call last):
  File "/Users/martin.dagostino/workspace/margostino/autobox/autobox-engine/.venv/lib/python3.13/site-packages/thespian/system/actorManager.py", line 179, in _handleOneMessage
    actor_result = self.actorInst.receiveMessage(copy.deepcopy(msg), envelope.sender)
  File "/Users/martin.dagostino/workspace/margostino/autobox/autobox-engine/autobox/core/agents/orchestrator.py", line 54, in receiveMessage
    SimulationMessage(
    ~~~~~~~~~~~~~~~~~^
        status=self.status,
        ^^^^^^^^^^^^^^^^^^^
        progress=self.progress,
        ^^^^^^^^^^^^^^^^^^^^^^^
    ),
    ^
  File "/Users/martin.dagostino/workspace/margostino/autobox/autobox-engine/.venv/lib/python3.13/site-packages/pydantic/main.py", line 253, in __init__
    validated_self = self.__pydantic_validator__.validate_python(data, self_instance=self)
pydantic_core._pydantic_core.ValidationError: 1 validation error for SimulationMessage
status
  Input should be 'started', 'in progress', 'new', 'failed', 'completed', 'timeout' or 'aborted' [type=enum, input_value=<ActorStatus.RUNNING: 'running'>, input_type=ActorStatus]
    For further information visit https://errors.pydantic.dev/2.11/v/enum

2025-08-21 14:41:20 | server | ERROR | Failed to ping orchestrator: 'PoisonMessage' object has no attribute 'status'
2025-08-21 14:41:30 | server | INFO | Simulation status received.
2025-08-21 14:41:30 | server | INFO | Status actor response: Poison<SimulationSignal(type=<Signal.SIMULATION: 'simulation'>, from_agent='server', to_agent=<ActorName.ORCHESTRATOR: 'orchestrator'>, content=None)>: Traceback (most recent call last):
  File "/Users/martin.dagostino/workspace/margostino/autobox/autobox-engine/.venv/lib/python3.13/site-packages/thespian/system/actorManager.py", line 179, in _handleOneMessage
    actor_result = self.actorInst.receiveMessage(copy.deepcopy(msg), envelope.sender)
  File "/Users/martin.dagostino/workspace/margostino/autobox/autobox-engine/autobox/core/agents/orchestrator.py", line 54, in receiveMessage
    SimulationMessage(
    ~~~~~~~~~~~~~~~~~^
        status=self.status,
        ^^^^^^^^^^^^^^^^^^^
        progress=self.progress,
        ^^^^^^^^^^^^^^^^^^^^^^^
    ),
    ^
  File "/Users/martin.dagostino/workspace/margostino/autobox/autobox-engine/.venv/lib/python3.13/site-packages/pydantic/main.py", line 253, in __init__
    validated_self = self.__pydantic_validator__.validate_python(data, self_instance=self)
pydantic_core._pydantic_core.ValidationError: 1 validation error for SimulationMessage
status
  Input should be 'started', 'in progress', 'new', 'failed', 'completed', 'timeout' or 'aborted' [type=enum, input_value=<ActorStatus.RUNNING: 'running'>, input_type=ActorStatus]
    For further information visit https://errors.pydantic.dev/2.11/v/enum

2025-08-21 14:41:30 | server | ERROR | Failed to ping orchestrator: 'PoisonMessage' object has no attribute 'status'
2025-08-21 14:49:46 | server | INFO | Starting server on localhost:5000
2025-08-21 14:49:46 | server | INFO | Starting background queue consumer...
2025-08-21 14:49:46 | server | INFO | Queue consumer started successfully
2025-08-21 14:49:49 | server | INFO | Simulation status received.
2025-08-21 14:49:49 | server | INFO | Status actor response: SimulationMessage(content=None, from_agent=None, to_agent=None, status=<SimulationStatus.STARTED: 'started'>, progress=0)
2025-08-21 14:49:53 | server | INFO | Simulation status received.
2025-08-21 14:49:54 | server | INFO | Status actor response: SimulationMessage(content=None, from_agent=None, to_agent=None, status=<SimulationStatus.STARTED: 'started'>, progress=5)
2025-08-21 14:49:54 | server | INFO | Simulation status received.
2025-08-21 14:49:54 | server | INFO | Status actor response: SimulationMessage(content=None, from_agent=None, to_agent=None, status=<SimulationStatus.STARTED: 'started'>, progress=5)
2025-08-21 14:49:55 | server | INFO | Simulation status received.
2025-08-21 14:49:55 | server | INFO | Status actor response: SimulationMessage(content=None, from_agent=None, to_agent=None, status=<SimulationStatus.STARTED: 'started'>, progress=5)
2025-08-21 14:49:56 | server | INFO | Simulation status received.
2025-08-21 14:49:56 | server | INFO | Status actor response: SimulationMessage(content=None, from_agent=None, to_agent=None, status=<SimulationStatus.STARTED: 'started'>, progress=5)
2025-08-21 14:49:56 | server | INFO | Simulation status received.
2025-08-21 14:49:56 | server | INFO | Status actor response: SimulationMessage(content=None, from_agent=None, to_agent=None, status=<SimulationStatus.STARTED: 'started'>, progress=5)
2025-08-21 14:49:57 | server | INFO | Simulation status received.
2025-08-21 14:49:57 | server | INFO | Status actor response: SimulationMessage(content=None, from_agent=None, to_agent=None, status=<SimulationStatus.STARTED: 'started'>, progress=5)
2025-08-21 14:49:57 | server | INFO | Simulation status received.
2025-08-21 14:49:57 | server | INFO | Status actor response: SimulationMessage(content=None, from_agent=None, to_agent=None, status=<SimulationStatus.STARTED: 'started'>, progress=5)
2025-08-21 14:49:58 | server | INFO | Simulation status received.
2025-08-21 14:49:58 | server | INFO | Status actor response: SimulationMessage(content=None, from_agent=None, to_agent=None, status=<SimulationStatus.IN_PROGRESS: 'in progress'>, progress=20)
2025-08-21 14:50:00 | server | INFO | Simulation status received.
2025-08-21 14:50:00 | server | INFO | Status actor response: SimulationMessage(content=None, from_agent=None, to_agent=None, status=<SimulationStatus.IN_PROGRESS: 'in progress'>, progress=20)
2025-08-21 14:50:07 | server | INFO | Simulation status received.
